Product,Consumer complaint narrative
Debt collection,"I am writing to inform you of fraudulent accounts on my credit report that are severely impacting my financial standing. It has come to my attention that there are entries that do not belong to me, tarnishing my creditworthiness and financial reputation. XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX"
Credit reporting or other personal consumer reports,"There is incorrect and inaccurate information on my credit report. My Experian credit report is reporting an account on my report from XXXX XXXXT which is indeed not my account. It's does not report on XXXX at all and would like this account removed immediately. It is not accurate. It is not linked to any address on my credit report at all. I disputed this with Experian plenty of times with no resolution. And according to 15 USC 1681i 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In general, after any reinvestigation under paragraph ( 1 ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( * ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( i ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer. and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."
Mortgage,"Consumer Claims Complaint Against XXXX XXXX and Shellpoint ( A Division of Newrez ) Both Mortgage Servicing Companies This complaint is against XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX  XXXX Telephone : XXXX XXXX Shellpoint This complaint is against Shellpoint Mortgage Servicing, XXXX XXXX XXXX, XXXXXXXX XXXX XXXX Telephone : XXXX These companies practices are deceptive. 
XXXX XXXX is my current Mortgage Loan Servicer, and they fail to honor Loan Modification changes made to my loan filed by prior Loan Servicer Greentree Servicing recorded in XXXX XXXX Florida on XX/XX/XXXX. This XXXX Modification changed the terms of the loan as well as deleted my ex-husbands name from the Mortgage it as the Grantor and changed the terms of the Mortgage. Ex- also relinquished his rights to property by signing over the Deed to this property as well. 
The loan Servicer before XXXX was Shellpoint Mortgage, I was in review for a Modification of my mortgage when my loan was transferred to XXXX. Note, that Shellpoint didnt honor modification changes as well. These Servicers are involved in some type of illegal scam making funds from mortgage insurance and foreclosures. The Mortgage Servicer Ditech was servicing my loan in XXXX prior to Shellpoint. I filed for Bankruptcy in XXXX. XXXX wrote my Attorney and stated that a modification may involve some or all of the following changes to the mortgage loan : Bringing the account current Reducing the interest rate on the loan Extending the term of the loan, and or/ Delaying repayment of the portion of the loans principal until the maturity date Once I completed the Bankruptcy Ditech was filing bankruptcy and they never completed the Modification process- loan was transferred to Shellpoint who didnt honor Ditechs commitment to assist me- the circle continued. 
XXXX XXXX is currently misleading me in my current modification process. I have hired an attorney to assist with my Foreclosure process and have channeled all modification document request through my attorney to theirs. They are currently working behind the scenes using tactics like requesting that I send documents that were forward to them already over and over. Also, they are requesting that my ex-husband send documents to them as well. We have been divorced for years. Stalling and misleading me. They are using this tactic to prevent a modification from occurring so they can foreclose on a home. XXXX has filed for foreclosure. 
XXXX XXXX has yet to send necessary information for loan refinance. I have requested loan payoff information and have yet to receive this information and it starting to feel like XXXX is taking steps to prevent a refinance from occurring, since the refinance can cause the loss of revenues from losing my loan. 
( Just received payoff XX/XX/XXXX ) Amount is inflated with fees. 
XXXX is a wholly owned subsidiary of XXXX, a specialized investment management firm focused on real estate, mortgage finance and corporate credit with more than {$20.00} XXXX in assets under management. My property has already been placed in pre-foreclosure status. Which demonstrates to me that this company is not operating in good faith. I started this loan Modification process last year and my loan was transferred to XXXX, and they are not operating in good faith. It is a hardship when they ask for me to re seen documents over and over. 
XXXX has placed forced insurance on my loan. I have sent copies of insurance information several times via email as well as my attorney has forwarded this information. 
I am asking that this company honor the original modification recorded and or make my loan more affordable by lowing the principal amount. 
Visit : XXXX XXXX XXXX for more information about this company."
Student loan,"The payment plans the servicer has setup that have caused hardship! 

* The Repayment creates a hardship that would prevent a minimal standard of living * The hardship is likely to continue * I have acted in good faith to try to repay They evaluate your income every XXXX months when the average person 's income changes every XXXX years. 

Despite the income remaining the same, and in some instances decreasing, the payments continue to increase and are no longer sustainable. The payment plans are flawed and have caused hardship that prevent a minimal standard living. 

I called and explained multiple times to the servicer that I can not afford the payment. They told me that my only options were to have my income reevaluated, but assured me that regardless the payment was going to increase. 

The representative stated that regardless of what the income is, the system is designed to automatically increase the payment. The balance originated at XXXX. I've paid them nearly XXXX .. and I still owe over {$100000.00}! 

The payment continues to increase. The representatives are ill prepared. They're not trained. They're not friendly and they provide misinformation.. 

What is the point of an income based program if the payment continues to increase regardless of the income or employment status? 

The program is flawed!! The services has grossly mishandled its loan service and responsibilities."
Credit reporting or other personal consumer reports,"I am writing to formally dispute the accuracy of the reporting of my account with JPMorgan Chase Bank, as it appears on my credit report as of XXXX XXXX XXXX. The account in question is being reported as both charged off, written off, and past due, which is inconsistent and misleading. It is not possible for an account to hold three different statuses simultaneously, and this discrepancy raises significant concerns about the accuracy of your reporting. 

Furthermore, the recent balance listed as {$2600.00} is particularly troubling. Charged off accounts should not reflect an outstanding balance, as the debt has been canceled and classified as a credit for the consumer. As it is a credit for the consumer ( me ), this further supports the assertion that it should not be reported as a past due account. 
The erroneous reporting of this account has had a detrimental impact on my credit score and overall credit health. Under the FCRA, financial institutions are obligated to report accurate information, and failure to do so can harm consumers significantly. In my case, this inaccurate reporting has already caused me substantial distress and financial setbacks. 

I request that you correct the inaccuracies on my credit report by not reporting it to the consumer reporting agencies as soon as possible. Please confirm in writing that these corrections have been made."
"Credit reporting, credit repair services, or other personal consumer reports","I am re-submitting my CFPB Complaint to express my extreme dissatisfaction and outrage at the fraudulent items listed on my credit report. It is unacceptable that several items, which I did not open or have any knowledge of, are present, indicating identity theft. The fraudulent account details, including [ list details ], violate my rights and have severely impacted my financial standing. I demand that you investigate and remove these items from my credit report without delay. Please remove the following items from my credit file : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XXXXXXXX XXXX XXXXXXXX, FL XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX XXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX XXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX XXXX XXXX Inquiry : XXXX. XXXX, XXXXXXXX XXXX XXXXXXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX Inquiry : XXXX. XXXX, XXXX XXXX, XXXX, XXXX. As a consumer, I have the right to dispute any inaccurate information on my credit report, and under the Fair Credit Reporting Act, it is your legal obligation to conduct a prompt and thorough investigation. Please provide me with a written response detailing the results of your investigation and the actions you have taken to rectify this situation."
Credit reporting or other personal consumer reports,"I HAVE BEEN AFFECTED BY THE XXXX XXXX BREACH. PER 15 USC 1681 C-2 STATES EXCEPT AS OTHERWISE PROVIDED IN THIS SECTION A CONSUMER REPORTING AGENCY SHALL BLOCK THE REPORTING OF ANY INFORMATION IN THE FILE OF A CONSUMER THAT THE CONSUMER IDENTIFIES AS INFORMATION THAT RESULTED FROM AN ALLEGED IDENTITY THEFT. 

XXXX XXXX XXXX XXXX XXXXXXXX XX/XX/XXXX -- {$13000.00} XXXX XXXX XXXXXXXX XXXX XXXXXXXX -- {$120.00} XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX -- {$460.00} XXXX XXXX XXXX XXXX XXXX XXXX  -- {$590.00} XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX -- {$690.00} XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX -- {$480.00} XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX -- {$920.00} XXXX, XXXX XXXX XXXX XXXX XXXXXXXX XX/XX/XXXX -- {$1000.00} UNAUTHORIZED INQUIRIES : XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXXXXXX XXXX XXXXXXXX XX/XX/XXXX XXXXXXXX XXXX XXXXXX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX XXXX XXXXXXXX XXXX XXXXXX/XX/XXXX XXXX XXXX XXXX XXXX  XX/XX/XXXX"
Credit card or prepaid card,"This is a XXXX XXXX XXXX XXXX for the CFBP. 


RESPONSE : XXXX Resubmitted on XXXX ( due to error on th fax of the OCC ) I had received your letter dated XXXX, Your Institution said said that now Synchrony Bank received my payment of {$3300.00} on XX/XX/2022 and applied to my accountant XXXX. You had also said that my payment was unpaid by my bank, and the payment were reversed. 


I went to my Bank XXXX XXXX XXXX XXXX, here in XXXX at the XXXX XXXX XXXX location. On XXXX The office issue me the attached documents. I was told that this claim its not 100 % correct. That payment or any of the records claimed on your letter never appear on my bank records. ( this payments nor any transaction are not in my bank records. ) As I had mentioned prior, This his is the store error and mistake. This never existed and never took place the way XXXX claimed to happened. 

This is exactly the reason for me to request a 100 % investigation on my account, My account has too many errors and now XXXX want me to pay for it. 
I had sent a copy of {$800.00} XXXX Cash payment that was never annotated on my account. 

Pl lease see the attached documents. Let me know if theres anything I can get to Synchrony Bank in order to clarify this issue. Thank you for your assistance and your cooperation on this matter. 
Please noticed that I had responded to this letter on XXXX but I faxed the paper work to XXXX office to the OCC, which had my case # XXXX Today when I called to check on this issue, I was told that I need to resubmit this claim. 


Please noticed. 
Synchrony Bank XXXX Lowes keep saying that my payment was returned due to the bank reversed my payment. This is not correct, my bank XXXX XXXX XXXX XXXX has no records whatsoever of this transactions. 
Please see tha attached paperwork. Dated XXXX I responded inmediatly but my paperwork went to the wrong offcie.. 
Respectfully, XXXX XXXX Attached Copy of the Fax sent to XXXX on XXXX to the OCC copy of a Synchrony Bank letter dated XXXX Account xxx-xxx # XXXX copy of a Synchrony Bank letter dated XXXX copy of a Synchrony Bank letter dated XXXX copy of a Synchrony Bank letter dated XXXX copy of a Synchrony Bank letter dated XXXX ( second letter ) copy of a OCC Claim # XXXX dated XXXX copy of a {$800.00} payment believed was credited to my account d XXXX copies of XXXX XXXX  statements issue by my bank on XXXX total number of pages # 22 Today date ; XXXX"
Mortgage,"Caliber home Loans violated The Real Estate Settlement Procedures Act of 1974 ( 12 USC 2601 ) ( RESPA ), together with HUDs Regulation X ( 24 CFR 3500 ), AND Louisiana RS 13:3852 Notices of Seizure as an official NOTICE of violation of Mennonite Notice for notification, AND sold a lot they had no fiduciary right to sell based on a contract and property description they acquired from XXXX   XXXX.

In Louisiana, the civil law, unlike the common law, has always rejected the notion of "" creditor self-help. '' The harshness of common law "" self-help '' remedies has been tempered by the United States Supreme Court decisions that use procedural due process to prevent a creditor from permanently depriving an owner of property without notice and a chance to raise objections to the proceeding. Caliber sold a property without properly notifying me, in addition, made the buyer unaware that the home they foreclosed on was on ONE OF TWO LOTS. The second lot was not a part on ANY contract entered into with XXXX  XXXX  ( as can be proven by my contract with an original lot description ) As the owner of the property secured on Account number XXXX, I was never contacted as to the seizure of the property at XXXX XXXX XXXX XXXX XXXX XXXX, LA XXXX..And the current "" owner '' has been made to believe they own the adjacent lot. I am looking to take possession of this lot immediately through settlement or juris prudence."
Mortgage,"I got my home mortgage refinanced with a new lender, the closing date being XX/XX/2020. It's 73 days past, but I haven't received the escrow balance refund cheque from Amerihome Mortgage Company ( old leader ). I did multiple follow-ups with their customer service but always got a canned answer that the cheque will be mailed in 2 weeks. Amerihome has uploaded the scanned copy of the cheque onto my loan account on their website ; I guess to show on record that they are compliant but never have mailed the physical cheque to me ; maybe the cover-up reason from their end would be 'the cheque was mailed, but it got misplaced '! I want to bring to the CFPB 's notice the malpractices followed by these home mortgage companies and seek remediation on the above complaint."
Debt collection,"I am disputing this account reported by Credit Control , LLC on behalf of XXXX. I requested validation of this debt, including proof that I am legally responsible and documentation showing the amount owed. 

The company has not provided sufficient verification, such as a signed agreement or complete account records. The information reported appears incomplete and inaccurate. 

I am requesting proper validation of this account or its removal from my credit report."
Credit card,"I have noticed late payment entries on my credit report that I believe are incorrect. As outlined in 15 USC 1681e ( b ) and 15 USC 1681i, my report must only include information that is accurate, complete, and verifiable. I am requesting verification of these entries, and if they can not be confirmed, they should be corrected or deleted."
Credit reporting or other personal consumer reports,"The fraud alert was placed on my credit file due to a past incident of identity theft, but the situation has been resolved, and I no longer require the alert. As such, I kindly ask for your assistance in removing the fraud alert promptly to ensure that my credit transactions proceed smoothly without unnecessary disruptions. Thank you for your attention to this matter."
Credit reporting or other personal consumer reports,"This is a follow-up to my previous written dispute regarding fraudulent accounts and inquiries appearing on my consumer report. Per FCRA 605B ( 15 U.S.C. 1681c-2 ), you are required to block all information resulting from identity theft within four business days of receipt. 
The following accounts and inquiries do NOT belong to me and were obtained fraudulently without my consent : ACCOUNTS : XXXX XXXXXXXX - Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX XXXX - Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX XXXX - Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX XXXX - Account Number : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX XXXX - Account Number : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX XXXX XXXX XXXX - Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Date Opened : XX/XX/XXXX, Balance : {$1000.00} XXXXXXXX XXXX  - Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00} XXXX  - Account Number : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/XXXX, Balance : {$0.00}"
Credit card or prepaid card,"I agreed to purchase some goods from a vendor in a certain timeframe, which was guaranteed at the time of purchase. When the goods did not arrive, I emailed the vendor in advance of the deadline reminding them of our agreement. The goods still did not arrive by the deadline we had agreed at the time of pirchase. 

The Fair Credit Billing Act, 15 U.S. Code 1666, ( b ) ( 3 ) defines a billing error as "" A reflection on a statement of goods or services ... not delivered to the obligor or his designee in accordance with the agreement made at the time of a transaction. '' I complained to my credit card company about this billing error and forwarded copies of the emails which demonstrated the agreement made at the time of the transaction and how it was breached. I pointed out to the card company that the vendor had accepted responsibility for the billing error and wrongly offered me a 50 % refund of my money- which I refused. 

However, Chase Card Services refused to accept that this was a billing error and wrote to me to say "" We found no evidence of a billing error based on our research. '' This conclusion was reached even though the vendor had admitted the billing error This is the second time is as many months that Chase has refused to accept an obvious billing error as a billing error. After I complained to you on the previous occasion, Chase immediately reversed its initial decision and accepted the previous complaint as a billing error. They will do the same here. The basis of this complaint is that Chase is SYSTEMATICALLY avoiding legitimate billing errors."
"Money transfer, virtual currency, or money service","Cash App : I sent XXXX separate {$300.00} payments to recipients. Both recipients have had trouble receiving funds. I have called Cash App "" help line '' XXXX  times requesting refunds for both transactions.Can barely understand representatives from whatever country they are in, but managed to get out of them that no refunds will be issued and I would hear from a "" supervisor '' to explain via email. Never heard anything back. In the meantime, they still have my {$600.00}!! Please help. I am on Social Security."
Credit card,In XXXX I received a replacement Business Credit card for the one that was do to expire in XXXX 2017. I activate the new card and destroy it by mistake and kept the old card when I call Bank of America customer service they said I would receive a new card in two days. Three days later a Bank of America complience office call me and said I would to call to unlock my consumer credit file which is frozen because I am a victim of ID thief. First he gave me to wrong number then when I call Bank of America they told I would have to take a hard hit on my score. Since I can see my credit score on the Bank of America web site anytime I login why is it necessary to take a hard hit on my credit score. I have mortgage with Bank of America and personal Credit card account. They have make it very difficult for me to want to do business with Bank of America
Debt collection,My identity was stolen social security card and divers license were stolen in 2018 and I have made police reports and ftc reports towards this mater. I also was told by the XXXX XXXX XXXX to send proof of this which I sent in by email and mail and the other credit bureaus sent them the same thing. Im still got disrespected by XXXX XXXX
Credit card or prepaid card,"I want this late payment deleted from my account within XXXX days, this is not mine, I'm not aware of this, Under USC 1666b. 

XXXX. XXXX Account XXXX : XXXX XXXX days late in XX/XX/XXXX. 

XXXX. XXXX Account XXXX : XXXX XXXX day late in XX/XX/XXXX. 

XXXX. XXXX Account XXXX : XXXX XXXX days late in XX/XX/XXXX. 

XXXX. XXXX Account XXXX : XXXX XXXX days late in XX/XX/XXXX and XX/XX/XXXX XXXX. XXXX Account XXXX : XXXXXXXX XXXX days late in XX/XX/XXXX."
Credit reporting or other personal consumer reports,"This complaint is filed against XXXX, XXXX, and TransUnion for multiple violations of federal law under the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681 et seq., and other consumer protection laws. Despite formally disputing 15 fraudulent accounts and unauthorized credit inquiries on my credit report, XXXX, XXXX, and TransUnion has failed to act in accordance with their legal obligations. My initial dispute letter included detailed documentation of identity theft and requested the removal and blockage of the fraudulent accounts. As of today, XXXX, XXXX, and TransUnion has failed to resolve my disputes within the legally mandated timeframes or provide sufficient remedies for their violations. 

The following fraudulent accounts and inquiries remain unresolved and continue to cause harm to my credit profile : Fraudulent Accounts : XXXX  ( Account Number : XXXX ) XXXX  ( Original Creditor : XXXX Sprint ) ( Account Number : XXXX ) XXXX XXXX ( Account Number : XXXX ) XXXX XXXX ( Account Number : XXXX ) XXXX XXXX ( Account Number : XXXXXXXX XXXX XXXX XXXX  ( Account Number : XXXX ) XXXX XXXX XXXX ( Account Number : XXXX ) XXXX XXXX  ( Account Number : XXXX ) XXXX ( Account Number : XXXX ) XXXX  ( Account Number : XXXX ) XXXX XXXX  ( Account Number : XXXX ) XXXX XXXX XXXX  ( Account Number : XXXX ) XXXX ( Account Number : Not Provided ) XXXX XXXX XXXX ( Account Number : Not Provided ) XXXX XXXX XXXX XXXX  ( Account Number : Not Provided ) Unauthorized Credit Inquiries : XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Legal Violations Committed by XXXX XXXX XXXX XXXX and TransUnion : Failure to Investigate Disputes ( 15 U.S.C. 1681i ( a ) ) : XXXX, XXXX, and TransUnion failed to conduct a proper investigation of my disputes within the required 30-day period after receiving notice, in direct violation of FCRA 1681i ( a ).

Failure to Ensure Maximum Possible Accuracy ( 15 U.S.C. 1681e ( b ) ) : My credit report continues to contain inaccuracies, including discrepancies in balances, open dates, and payment histories across bureaus, in violation of FCRA 1681e ( b ).

Failure to Block Fraudulent Information After Notice of Identity Theft ( 15 U.S.C. 1681c-2 ) : Despite being provided with sufficient evidence of identity theft, including police reports and FTC identity theft affidavits, XXXX, XXXX, and TransUnion has failed to block the fraudulent accounts and inquiries.

Failure to Provide Timely Written Results of Investigations ( 15 U.S.C. 1681i ( a ) ( 6 ) ) : XXXX, XXXX, and TransUnion did not provide written notice of the results of their investigations within the required 30 days. 

Failure to Provide Consumer Resources for Victims of Identity Theft ( XXXX U.S.C. 1681g ( e ) ) : XXXX, XXXX, and TransUnion neglected to implement fraud alerts or offer guidance and support for identity theft victims, in violation of FTC regulations. 

Failure to Notify of Debt Validation as Required ( 15 U.S.C. 1692g ) : Creditors failed to provide debt validation within five days of reporting fraudulent accounts, which XXXX, XXXX, and TransUnion has continued to report. 

Failure to Reinvestigate Disputes ( 15 U.S.C. 1681i ( a ) ( 6 ) ) : Despite providing additional documentation to challenge the resolution of prior disputes, XXXX, XXXX, and TransUnion has failed to conduct a reinvestigation. 

Violations of Gramm-Leach-Bliley Act ( 15 U.S.C. 6801 ) : XXXX, XXXX, and TransUnion failed to safeguard my personal information, as evidenced by the fraudulent accounts and inquiries. 

Relief Requested : I respectfully request that the Consumer Financial Protection Bureau ( CFPB ) take immediate action to hold XXXX, XXXX, and TransUnion accountable for their repeated violations of federal law. Specifically, I demand the following remedies : Immediate removal and permanent blockage of all fraudulent accounts and unauthorized credit inquiries listed above. 

Written confirmation from XXXX, XXXX, and TransUnion regarding the removal of fraudulent entries and the provision of updated, corrected copies of my credit report. 

Implementation of fraud alerts on my credit file for additional protection against future identity theft. 

An investigation into how my personal information was compromised and how these accounts were permitted to appear on my credit report. 

Compensation for damages resulting from negligence and noncompliance with federal law, including but not limited to damage to my creditworthiness and emotional distress. 

Issuance of penalties and corrective measures against XXXX, XXXX, and TransUnion to ensure compliance with federal regulations. 

Supporting Documentation : Enclosed with this complaint, I have provided the following : Copies of my original dispute letters sent to XXXX, XXXX, and TransUnion. 

Copies of police reports and FTC identity theft affidavits. 

A copy of my government-issued ID and proof of address. 

Documentation of all correspondence with XXXX, XXXX, and TransUnion. 

Conclusion : XXXX, XXXX, and TransUnion 's failure to comply with federal law and address my disputes in a timely and lawful manner demonstrates willful neglect and reckless disregard for their responsibilities under the FCRA. I request that the CFPB take decisive action to ensure accountability and provide remedies for the harm caused by their noncompliance. 

Thank you for your prompt attention to this matter. Please do not hesitate to contact me should you require further details or documentation. 

Sincerely, XXXX XXXX"
"Money transfer, virtual currency, or money service","I used XXXX XXXX  XXXX  a service provided by Dandelion Payment Inc. dba XE USA to send a money to my family in the XXXX yesterday ( XX/XX/year> at XXXX ) I split the the transaction between my mom and my sister because they live separately and I send the same amount of money to them ( {$1300.00} or XXXX XXXX XXXX in each ) and its already taken out to our bank account. After I send the money, the money I send to my mom is already released but the money that I send to my sister hasnt release. They send me an email and asking additional information from me for verification, and I provided everything they asked/need from me immediately. And I called them many times yesterday ( XX/XX/year> ) and told them I already provided everything they need and they promised me they will release the money to my recipient ( sister ) yesterday but they did not. My sister really need that money to pay the bills in the XXXX. And I woke up this morning still wasnt release. They are holding my money after I provided all the information they need."
Checking or savings account,"On XX/XX/year>XXXX XXXX XXXX XXXX XXXX I was charged {$250.00} by XXXX * XXXX XXXX. This charge was unauthorized and not made by me. I immediately reported it as fraudulent and requested that the charge be removed. 

On XX/XX/year>, I received a temporary credit for {$250.00}. However, on XX/XX/year>, the company removed that credit and reapplied the charge. I have repeatedly stated that this transaction was not authorized by me and asked that the charge remain removed and that I be issued a new card number. The company has not done so and has not provided any proof of the transaction. Nor have the reopened my dispute claim."
Credit reporting or other personal consumer reports,"I did not authorize the use of my identity in any manner related to the inaccurate accounts or activities that have appeared in my name. My information was verified as part of the Equifax and XXXX  data breaches, which exposed sensitive personal data to unauthorized parties. 

FRAUDULENT ACCOUNTS : XXXX XXXX # XXXX - Balance : {$0.00} - Date Opened : XX/XX/XXXX XXXX XXXX # XXXX - Balance : {$0.00} - Date Opened : XX/XX/XXXX XXXX  # XXXX - Balance : {$19000.00} - Date Opened : XX/XX/XXXX XXXX  # XXXX - Balance : {$0.00} - Date Opened : XX/XX/XXXX XXXX XXXX # XXXX - Balance : {$0.00} - Date Opened : XX/XX/XXXX XXXX XXXX XXXX # XXXX - Balance : {$0.00} - Date Opened : XX/XX/XXXX XXXX XXXX XXXX # XXXX - Balance : {$13000.00} - Date Opened : XX/XX/XXXX"
"Money transfer, virtual currency, or money service","I am writing to informally my concerns regarding Zelle handling of dispute, particularly in light of a recent CFPB lawsuit highlighting significant issues the platform.Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately they informed me that recovering lost of funds was impossible and that tracking these transactions was unfeasible. The CFPB finding indicates that Zelle has not only neglected to protect consumers but also has allowed repeated offenders to exploit the system, leaving users vulnerable to scams this lack of accountability and transparency is unacceptable to raises serious concerns about consumers safety"
Student loan,"I have made payments to the bank ( KeyBank ) servicer XXXX XXXX XXXX ( XXXX ) and they are failing to properly credit my account ie. applying payments to federal loans only and not applying to my private loans. As a result they are incorrectly charging penalties, interest and ultimately reporting false information regarding late payments to the credit bureaus resulting in an unjustified low credit score when since XX/XX/2018 I have made multiple payments to them.

I have my bank statements and the email confirmations from their systems regarding payments. I want them to review all of the payments made in XX/XX/2018 to determine where my money is going and to find out if they are properly crediting my account. They also need to remove the late payments and interest for all payments from XX/XX/2018 toXX/XX/2018.

Further, I have mentioned to them that I am now unemployed as of XX/XX/2018and as of this writing they have failed to immediately provide me with proper documents ( why must they mail blank forms in 10 days vs. email?! ) in order to assist me with the restructuring of repayment of my private loans so that there is no default/further interest rate charges. They were able to assist with Federal loan deferment over the phone! They cause unnecessary delays when they can fax or email blank forms to me directly ... its ridiculous. Further, the right hand is not talking to the left. The bank contracts with its servicer to collect payments from me, yet they can not speak to them directly to find out if payments have been made or credited. I have to be subjected to unnecessary harassment by the collections department when my documentation clearly shows I am making multiple payments ... requiring me on a conference call is a clear delay tactic as they should be able to talk directly to the company they hire to collect funds from me."
Credit card,"On XX/XX/year>, I applied for the XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX, issued from Bank of America, specifically to take advantage of a promotional deal for XXXX % off of a flight as I am planning to fly to XXXX from XXXX in XXXX. I was approved for the credit card. I analyzed the details quite thoroughly I thought, and even called XXXX XXXXXXXX to make sure I would be able to use this promo. 

When attempting to book the flight yesterday the system would not allow me to make the booking, stating that I the promo is only good for travel from early XXXX through XXXX of this year. 

Upon further investigation I found these restrictions in the terms and conditions. I did not expect the terms and conditions to be about the promo, especially as when I started to reveiw them they were covering details such as interest rates, etc. 

In addition, the promo stated that the XXXX % discount would be available to me within XXXX days of approval of my application for the credit card. Why would anyone care about that offer being available within XXXX days if they can not even use it to make a reservation until XXXX for travel in XXXX? This is misleading advertising. 

Today, I called XXXX XXXXXXXX asking them to correct the issue. I spoke with XXXX. She stated that she could not make a correction and pointed to the terms and conditions wording. We also discussed the travel destinations and upon reading the terms and conditions she stated that travel between XXXX and XXXX is not permitted with the promo. I believe she is incorrect. This again goes to show the confusing nature of the promo."
Credit reporting or other personal consumer reports,"The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system. So whenever there is a violation under the FCRA, it impairs the efficiency of the banking system. This is a violation of TILA US Code 1666B since I was never late. "" I recently reviewed my consumer report and noticed an incorrect late payment record. I have always maintained timely payments on this account. Under the Fair Credit Billing Act ( FCBA ) and the Truth in Lending Act ( TILA ), creditors are required to accurately report consumer transactions and provide a mechanism for correcting errors in a timely manner. Please conduct an investigation into this matter, and if you can not provide documentary evidence of these supposed late payments, I demand these payments to be updated to on time as they should be as I was NEVER late. I expect these updates to be made promptly, in compliance with the law."
Student loan,"Started all the loans with sallie XXXX/navient. Recently received an email stating if you ever could not pay the private loans/ defer or only pay interest they could help or possibly drop the debt. I contacted them as I had deferred as well as paying interest only for over 4 years. XXXX XXXX reps told me they were unaware of it and couldnt help as I have proof of it from the website. I initially owed over XXXX now down to around XXXX, currently struggling due to numerous XXXX of severe XXXX and XXXX and out of work on leave without income. It was a lie on their site and am very upset."
"Payday loan, title loan, or personal loan",on XX/XX/29 company withdrew {$610.00} from my bank account without authorization
